date,date,government_debt_usd
2008-01,2008-01-01,9437594.0
2008-04,2008-04-01,9492006.0
2008-07,2008-07-01,10024725.0
2008-10,2008-10-01,10699805.0
2009-01,2009-01-01,11126941.0
2009-04,2009-04-01,11545275.0
2009-07,2009-07-01,11909828.0
2009-10,2009-10-01,12311349.0
2010-01,2010-01-01,12773123.0
2010-04,2010-04-01,13201792.0
2010-07,2010-07-01,13561622.0
2010-10,2010-10-01,14025215.0
2011-01,2011-01-01,14270114.0
2011-04,2011-04-01,14343087.0
2011-07,2011-07-01,14790340.0
2011-10,2011-10-01,15222940.0
2012-01,2012-01-01,15606518.0
2012-04,2012-04-01,15855037.0
2012-07,2012-07-01,16066240.0
2012-10,2012-10-01,16432730.0
2013-01,2013-01-01,16771381.0
2013-04,2013-04-01,16738320.0
2013-07,2013-07-01,16738180.0
2013-10,2013-10-01,17156119.0
2014-01,2014-01-01,17601227.0
2014-04,2014-04-01,17632606.0
2014-07,2014-07-01,17824071.0
2014-10,2014-10-01,18141444.0
2015-01,2015-01-01,18152056.0
2015-04,2015-04-01,18151998.0
2015-07,2015-07-01,18150618.0
2015-10,2015-10-01,18922179.0
2016-01,2016-01-01,19264939.0
2016-04,2016-04-01,19381591.0
2016-07,2016-07-01,19573445.0
2016-10,2016-10-01,19976827.0
2017-01,2017-01-01,19846420.0
2017-04,2017-04-01,19844554.0
2017-07,2017-07-01,20244900.0
2017-10,2017-10-01,20492747.0
2018-01,2018-01-01,21089643.0
2018-04,2018-04-01,21195070.0
2018-07,2018-07-01,21516058.0
2018-10,2018-10-01,21974096.0
2019-01,2019-01-01,22027880.0
2019-04,2019-04-01,22023283.0
2019-07,2019-07-01,22719402.0
2019-10,2019-10-01,23201380.0
2020-01,2020-01-01,23223813.0
2020-04,2020-04-01,26477241.0
2020-07,2020-07-01,26945391.0
2020-10,2020-10-01,27747798.0
2021-01,2021-01-01,28132570.0
2021-04,2021-04-01,28529436.0
2021-07,2021-07-01,28428919.0
2021-10,2021-10-01,29617215.0
2022-01,2022-01-01,30400960.0
2022-04,2022-04-01,30568582.0
2022-07,2022-07-01,30928912.0
